Name:Person_34;Age:27;Gender:female;Ethnicity:Chinese;Primary Language:Mandrain
Video index;Video start time;Video name;Video end time
13;1583393855.9029427;Neutral004951200.mp4;1583393866.5113153
14;1583393871.9096987;Neutral005040480.mp4;1583393882.7103994
15;1583393887.7542686;Neutral005243400.mp4;1583393903.3757327
16;1583393909.801061;Neutral005250600.mp4;1583393919.0224826
17;1583393922.5760896;Neutral005402480.mp4;1583393931.5688796
18;1583393936.4128163;Neutral005533800.mp4;1583393949.4645767
19;1583393953.4747663;Neutral005540120.mp4;1583393964.1384065
20;1583393969.69133;Neutral005733200.mp4;1583393978.607354
21;1583393982.4920442;Neutral005744520.mp4;1583393989.9510837
22;1583393994.8767724;Neutral010037480.mp4;1583394001.482609
23;1583394005.8765893;Neutral010121000.mp4;1583394011.5590935
24;1583394015.4260015;Neutral010155840.mp4;1583394021.7453206
25;1583394027.3128593;Neutral010217640.mp4;1583394034.5070724
26;1583394039.425272;Neutral010224243.mp4;1583394049.6435602
27;1583394056.000439;Neutral010247814.mp4;1583394062.977368
28;1583394069.0072725;Neutral010306120.mp4;1583394079.8584583
29;1583394084.0520525;Happy012131600.mp4;1583394093.8869822
30;1583394098.3498874;Happy012135560.mp4;1583394106.5991669
31;1583394110.747265;Happy012155840.mp4;1583394117.575568
32;1583394123.3454282;Happy012236960.mp4;1583394131.1287255
33;1583394137.8068638;Happy012447680.mp4;1583394145.1974623
34;1583394149.2156925;Happy012633640.mp4;1583394154.933806
35;1583394159.6856408;Happy014140967.mp4;1583394169.528718
36;1583394175.9495032;Happy000853240.mp4;1583394183.2654285
37;1583394189.3141837;Happy000901567.mp4;1583394196.1352856
38;1583394201.029357;Happy001138040.mp4;1583394208.0481625
39;1583394220.0820606;Happy001215160.mp4;1583394226.7424762
40;1583394231.9189155;Happy001255040.mp4;1583394238.7127366
41;1583394243.2337518;Happy001305160.mp4;1583394248.285252
42;1583394252.9543798;Happy001335200.mp4;1583394259.5323932
43;1583394263.1723552;Happy001345207.mp4;1583394268.6276562
44;1583394272.6903083;Happy001719520.mp4;1583394279.4162018
45;1583394285.0793355;Disgust010942127.mp4;1583394290.589199
46;1583394298.4209704;Disgust011055560.mp4;1583394305.496727
47;1583394311.916349;Disgust011152200.mp4;1583394320.1269376
48;1583394324.182097;Disgust011158480.mp4;1583394332.8397958
49;1583394341.222116;Disgust014403887.mp4;1583394351.564196
50;1583394355.8308;Disgust014429160.mp4;1583394362.995114
51;1583394366.323792;Disgust014824160.mp4;1583394376.482895
57;1583394437.171552;Surprise001548120.mp4;1583394443.0918336
58;1583394446.3228638;Surprise001759754.mp4;1583394456.6238148
59;1583394460.9742186;Surprise001905680.mp4;1583394469.3914783
60;1583394479.5070226;Surprise001913160.mp4;1583394488.57256
61;1583394497.7061138;Surprise002519000.mp4;1583394507.0191236
62;1583394511.819662;Surprise002523280.mp4;1583394520.1207635
63;1583394523.861686;Surprise002728760.mp4;1583394531.307957
64;1583394535.8417082;Surprise003118400.mp4;1583394543.413211
65;1583394549.6798284;Surprise003150857.mp4;1583394554.916527
66;1583394558.3114629;Surprise003256320.mp4;1583394565.8138938
67;1583394570.644585;Surprise003314534.mp4;1583394577.193796
68;1583394580.433054;Surprise004319360.mp4;1583394588.0767424
69;1583394592.036673;Sad015653680.mp4;1583394599.7599893
70;1583394604.30953;Sad000510760.mp4;1583394612.6159132
71;1583394616.0014417;Sad001305880.mp4;1583394621.148582
72;1583394627.4033153;Sad001425880.mp4;1583394635.7123501
73;1583394639.5700052;Sad002300417.mp4;1583394646.631914
74;1583394651.845752;Sad002302057.mp4;1583394657.445024
75;1583394664.3008955;Sad002410291.mp4;1583394669.9163284
76;1583394674.3904073;Sad002643280.mp4;1583394681.3845844
77;1583394690.891737;Sad002712960.mp4;1583394700.5600376
78;1583394705.381504;Sad003716120.mp4;1583394712.8689601
79;1583394716.253348;Sad003849000.mp4;1583394723.6522434
80;1583394728.1438882;Sad004023160.mp4;1583394736.4971678
81;1583394741.7935426;Fear002616840.mp4;1583394748.4460456
82;1583394752.5048997;Fear002828240.mp4;1583394759.5669434
83;1583394764.0444074;Fear002941400.mp4;1583394769.2822943
84;1583394773.0327475;Fear003314854.mp4;1583394781.847831
85;1583394786.1732087;Fear003639560.mp4;1583394793.6325474
86;1583394797.4570975;Fear004050280.mp4;1583394806.7464378
87;1583394811.1141965;Fear010226800.mp4;1583394817.569663
88;1583394832.088757;Fear010340320.mp4;1583394839.363567
89;1583394843.2167768;Fear010543574.mp4;1583394849.7565854
90;1583394855.4824378;Fear010839487.mp4;1583394863.563232
91;1583394867.404152;Fear010845040.mp4;1583394876.3510056
92;1583394879.7509518;Fear010924040.mp4;1583394887.0619042
