Name:Person_1;Age:25;Gender:female;Ethnicity:Chinese;Primary Language:Mandarin
Video index;Video start time;Video name;Video end time
1;1583382607.9106855;Fear002910000.mp4;1583382624.9624667
2;1583382634.7126024;Fear003316894.mp4;1583382655.1620946
3;1583382663.3368967;Fear003701120.mp4;1583382676.2913768
4;1583382688.2929568;Fear003714360.mp4;1583382707.3609624
5;1583382711.9799473;Fear003839880.mp4;1583382722.5779223
6;1583382734.2543297;Fear003858160.mp4;1583382747.0516384
7;1583382754.2240772;Fear004039720.mp4;1583382770.0994892
8;1583382774.119177;Fear004118480.mp4;1583382783.3099189
9;1583382787.747054;Fear004242574.mp4;1583382802.4810276
10;1583382806.9849079;Fear004305440.mp4;1583382816.6502075
11;1583382824.079566;Fear004313680.mp4;1583382835.395752
12;1583382839.4745972;Fear004331934.mp4;1583382847.8866806
13;1583382857.1861846;Happy001414094.mp4;1583382865.0148604
14;1583382871.0714517;Happy001454240.mp4;1583382877.854688
15;1583382885.2284827;Happy001555320.mp4;1583382896.1865737
16;1583382900.017579;Happy001734840.mp4;1583382911.2022383
17;1583382914.71971;Happy001742240.mp4;1583382923.9863105
18;1583382927.8053916;Happy001748527.mp4;1583382934.192699
19;1583382944.9629679;Happy001805320.mp4;1583382950.1758962
20;1583382955.3822336;Happy001807000.mp4;1583382967.5779173
21;1583382971.88484;Happy001815600.mp4;1583382984.3051624
22;1583382989.8196974;Happy001834160.mp4;1583382999.6060147
23;1583383003.602631;Happy001846360.mp4;1583383010.275348
24;1583383015.8779736;Happy001941000.mp4;1583383022.0005424
25;1583383025.7214284;Happy001954560.mp4;1583383034.8617883
26;1583383038.7491531;Happy002240480.mp4;1583383048.2729254
27;1583383053.4844694;Happy002252017.mp4;1583383063.073052
28;1583383066.512625;Happy002324880.mp4;1583383075.2267087
29;1583383081.8445644;Neutral010431760.mp4;1583383089.603331
30;1583383103.5726748;Neutral010505920.mp4;1583383112.8029673
31;1583383118.2101858;Neutral010605600.mp4;1583383127.118466
32;1583383130.5573206;Neutral010622160.mp4;1583383136.4298108
33;1583383142.9938836;Neutral010623080.mp4;1583383151.8785686
34;1583383157.8768506;Neutral010630520.mp4;1583383163.5796795
