User,Person_min,Max,Min,Mean,Var,Mean Abs Diff,Mean Abs Second Diff,Emotion,Gender,Age
Person_0,-0.5863987100446444,2.8851036362228086,2.467606416956235,2.696395631929322,0.01528430856724953,0.015474843553328683,0.025900028753644402,5,0,28
Person_0,-0.5863987100446444,2.2707898248597873,2.0978232986457575,2.1837102324990942,0.0024891047420813437,0.011311512483569874,0.016828717974083585,5,0,28
Person_0,-0.5863987100446444,1.9785403744540593,1.6862955804454187,1.8316037005917745,0.006792788852337258,0.018003183272820158,0.028470793211142705,5,0,28
Person_0,-0.5863987100446444,1.6027924114744334,1.2926530834583492,1.4405841956074221,0.007218215382430687,0.01746674415501527,0.02999448551750655,5,0,28
Person_0,-0.5863987100446444,1.3817951493023535,1.0182981670600648,1.179677841036618,0.009638367828229117,0.01716741351741107,0.03148435144421623,5,0,28
Person_0,-0.5863987100446444,1.3042614813976043,1.1491894891910182,1.2231473545590037,0.0017428706604265304,0.012470678018103854,0.019695909950498778,5,0,28
Person_0,-0.5863987100446444,1.0597261319479727,0.8688697281235861,0.969955051083607,0.0027739149660104766,0.011719089484055789,0.01895785554236474,5,0,28
Person_0,-0.5863987100446444,0.8390501611749334,0.6660882913579907,0.7576759224668798,0.0023549150501010114,0.009360457573060095,0.016968697983713046,5,0,28
Person_0,-0.5863987100446444,0.6243390350710419,0.505056110879344,0.5588384950398907,0.0010106243175335354,0.010952269258737268,0.017561515386108745,5,0,28
Person_0,-0.5863987100446444,0.4871615768719,0.3976982196288547,0.44101704934460306,0.000491789897177315,0.011767470531651496,0.01888686396454585,5,0,28
Person_0,-0.5863987100446444,0.39173337495970656,0.25455591676056455,0.3180020264390263,0.0011918943802150684,0.009385105282807027,0.016023843852138026,5,0,28
Person_0,-0.5863987100446444,0.2605207614297125,0.1829870935249633,0.2217528927224296,0.000394254720958881,0.012269340245853416,0.019998403773882303,5,0,28
Person_0,-0.5863987100446444,0.1829870935249633,0.11737845856142257,0.1463120221238211,0.00034054875439060297,0.0110208820980352,0.020278402365286597,6,0,28
